2021-01-29 21:26:29,677 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.co.rays.proj3:ORSProject3:0.0.1-SNAPSHOT @ C:\Users\ankit\Desktop\ORS3\ORSProject3\pom.xml.
2021-01-29 21:27:06,857 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-01-29 21:27:06,915 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2021-01-29 21:27:07,372 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-01-29 21:27:07,412 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ankit\Desktop\ORS3\ORSProject3\src\test\resources
2021-01-30 18:04:12,552 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.co.rays.proj3:ORSProject3:0.0.1-SNAPSHOT @ C:\Users\ankit\Desktop\ORS3\ORSProject3\pom.xml.
2021-01-30 18:05:02,512 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-01-30 18:05:02,598 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2021-01-30 18:05:03,070 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-01-30 18:05:03,128 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ankit\Desktop\ORS3\ORSProject3\src\test\resources
2021-01-30 18:19:31,061 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-01-30 18:19:31,074 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-01-30 18:19:31,074 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-01-30 18:19:31,085 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ankit\Desktop\ORS3\ORSProject3\src\test\resources
2021-01-30 18:20:01,778 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-01-30 18:20:01,814 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2021-01-30 18:20:01,826 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
