127.0.0.1 - - [15/Mar/2021:18:45:54 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:45:59 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:46:03 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:46:58 +0530] "GET /ORSProject3/ HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:46:59 +0530] "GET /ORSProject3/theam_wel/fonts/montserrat-light_[allfont.net].ttf HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:04 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:05 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:05 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:05 +0530] "GET /ORSProject3/image/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:10 +0530] "GET /ORSProject3/LoginCtl HTTP/1.1" 200 11885
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:11 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:11 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:11 +0530] "GET /ORSProject3/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:11 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:44 +0530] "POST /ORSProject3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:44 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 17302
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:44 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:44 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:44 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:54 +0530] "GET /ORSProject3/LoginCtl?operation=logout HTTP/1.1" 200 11916
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:54 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:54 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:18:47:54 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/Mar/2021:19:40:13 +0530] "GET /ORSProject4/ HTTP/1.1" 404 1048
